ano,classe_nivel_1_en,classe_nivel_1,grupo_uso,area_ha,pais,escopo_geografico,nivel_classe,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_data_processamento,_periodo_integracao
2004,1. Forest,1. Floresta,Vegetação Nativa,544370117.95,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2004,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,50885507.6,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2004,3. Farming,3. Agropecuária,Agropecuária,232393198.14,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2004,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4904684.24,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2004,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18127541.34,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2004,6. Not Observed,6. Não Observado,Não Observado,3559.45,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,1. Forest,1. Floresta,Vegetação Nativa,541377218.72,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,50453473.01,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,3. Farming,3. Agropecuária,Agropecuária,235618306.85,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4942165.27,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18288621.46,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2005,6. Not Observed,6. Não Observado,Não Observado,4823.41,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,1. Forest,1. Floresta,Vegetação Nativa,539042039.62,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49750191.81,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,3. Farming,3. Agropecuária,Agropecuária,238062771.12,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4968321.13,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18857518.34,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2006,6. Not Observed,6. Não Observado,Não Observado,3766.7,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,1. Forest,1. Floresta,Vegetação Nativa,537308261.51,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49454861.69,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,3. Farming,3. Agropecuária,Agropecuária,239942061.28,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4998155.67,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18977547.74,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2007,6. Not Observed,6. Não Observado,Não Observado,3720.82,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2008,1. Forest,1. Floresta,Vegetação Nativa,535395816.44,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2008,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49423922.62,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
