pais,bioma,regiao,estado,uf,codigo_classe,tipo_supressao,tipo_supressao_simples,nivel_0_origem,classe_nivel_1,ano,area_ha,tem_desmatamento,periodo_politica,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_encoding_original,_data_processamento,_periodo_integracao
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2006,200.156830761719,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2007,33245.3450774172,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2007,0.0,False,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2007,127.593159320068,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2008,32909.9412521547,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2008,0.0883028381347656,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2008,132.366264648438,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2009,33306.382914142,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2009,0.352301281738281,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2009,113.211720697022,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2010,35290.8208962404,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2010,0.0,False,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2010,109.788192987061,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2011,27585.3717705932,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2011,2.11421145629883,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2011,148.975399487305,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2012,25615.9359240174,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2012,0.0,False,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2012,99.5398278564453,True,2. PPCDAm ativo (2004–2012),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2013,32150.1717213989,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2013,0.08830380859375,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2013,103.650536541748,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2014,35369.2672083131,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2014,0.0,False,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2014,46.5680080566406,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2015,39178.7134790345,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2015,0.0,False,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2015,59.1484934570313,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2016,32869.78252547,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2016,0.0,False,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2016,83.0664407592773,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2017,37987.8882552552,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2017,0.0,False,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2017,61.8606177490235,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2018,40858.9076241821,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2018,0.0,False,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2018,90.1219731689454,True,3. Estabilização (2013–2018),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2019,91632.5749474613,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2019,0.971648492431641,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2019,224.310088531494,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2020,91529.9186110351,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2020,0.0,False,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2020,195.461423937988,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2021,97183.3393169069,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2021,0.0,False,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2021,368.689327471924,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
