Dados,"606.152.118,73",classe_original_en,area_ha_raw,ano,area_ha,classe_nivel_1,grupo_uso,pais,escopo_geografico,nivel_classe,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_data_processamento,_periodo_integracao
Soma de 2000,"558.642.159,22","850.684.608,71","850.684.608,71",2000,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2001,"555.792.008,36","850.684.608,71","850.684.608,71",2001,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2002,"552.650.952,31","850.684.608,71","850.684.608,71",2002,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2003,"548.489.885,77","850.684.608,71","850.684.608,71",2003,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2004,"544.370.117,95","850.684.608,71","850.684.608,71",2004,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2005,"541.377.218,72","850.684.608,71","850.684.608,71",2005,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2006,"539.042.039,62","850.684.608,71","850.684.608,71",2006,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2007,"537.308.261,51","850.684.608,71","850.684.608,71",2007,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2008,"535.395.816,44","850.684.608,71","850.684.608,71",2008,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2009,"534.145.201,62","850.684.608,71","850.684.608,71",2009,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2010,"533.346.940,42","850.684.608,71","850.684.608,71",2010,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2011,"532.385.357,40","850.684.608,71","850.684.608,71",2011,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2012,"531.022.755,15","850.684.608,71","850.684.608,71",2012,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2013,"529.313.742,30","850.684.608,71","850.684.608,71",2013,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2014,"527.796.039,31","850.684.608,71","850.684.608,71",2014,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2015,"526.189.379,27","850.684.608,71","850.684.608,71",2015,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2017,"523.682.627,11","850.684.608,71","850.684.608,71",2017,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2016,"524.748.443,04","850.684.608,71","850.684.608,71",2016,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2018,"522.636.215,88","850.684.608,71","850.684.608,71",2018,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2019,"520.556.717,73","850.684.608,71","850.684.608,71",2019,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2020,"518.260.514,26","850.684.608,71","850.684.608,71",2020,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2021,"515.418.135,00","850.684.608,71","850.684.608,71",2021,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2022,"512.199.109,12","850.684.608,71","850.684.608,71",2022,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2023,"508.872.924,01","850.684.608,71","850.684.608,71",2023,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2024,"506.709.993,31","850.684.608,71","850.684.608,71",2024,850684608.71,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
