categoria,ano,emissao_mt
Publico,2005,2.0
Queima de residuos agricolas,2005,2.0
Residencial,2005,26.0
Residuos florestais,2005,87.0
Solos manejados,2005,115.0
Transportes,2005,142.0
Tratamento biologico de residuos solidos,2005,0.0
Uso de SF6 em equipamentos eletricos,2005,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2005,1.0
Agropecuaria,2006,16.0
Alteracoes de uso da terra,2006,1430.0
Carbono organico no solo,2006,24.0
Comercial,2006,2.0
Cultivo de arroz,2006,11.0
Disposicao final,2006,40.0
Efluentes domesticos,2006,22.0
Efluentes liquidos industriais,2006,4.0
Fermentacao enterica,2006,367.0
Geracao de eletricidade (servico publico),2006,21.0
Incineracao ou queima a ceu aberto,2006,2.0
Industria Quimica,2006,9.0
Industrial,2006,67.0
Manejo de dejetos animais,2006,21.0
Producao de combustiveis,2006,42.0
Producao de metais,2006,40.0
Producao e uso de CFs,2006,0.0
Producao e uso de HFCs,2006,1.0
Produtos minerais,2006,22.0
Publico,2006,2.0
Queima de residuos agricolas,2006,3.0
Residencial,2006,26.0
Residuos florestais,2006,69.0
Solos manejados,2006,116.0
Transportes,2006,146.0
Tratamento biologico de residuos solidos,2006,0.0
Uso de SF6 em equipamentos eletricos,2006,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2006,1.0
Agropecuaria,2007,17.0
Alteracoes de uso da terra,2007,1187.0
Carbono organico no solo,2007,20.0
Comercial,2007,2.0
Cultivo de arroz,2007,10.0
Disposicao final,2007,40.0
Efluentes domesticos,2007,21.0
Efluentes liquidos industriais,2007,4.0
Fermentacao enterica,2007,346.0
Geracao de eletricidade (servico publico),2007,19.0
Incineracao ou queima a ceu aberto,2007,2.0
Industria Quimica,2007,3.0
Industrial,2007,75.0
Manejo de dejetos animais,2007,21.0
Producao de combustiveis,2007,44.0
Producao de metais,2007,54.0
Producao e uso de CFs,2007,0.0
Producao e uso de HFCs,2007,2.0
Produtos minerais,2007,24.0
Publico,2007,2.0
Queima de residuos agricolas,2007,3.0
Residencial,2007,26.0
Residuos florestais,2007,57.0
Solos manejados,2007,122.0
Transportes,2007,152.0
Tratamento biologico de residuos solidos,2007,0.0
Uso de SF6 em equipamentos eletricos,2007,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2007,1.0
Agropecuaria,2008,18.0
Alteracoes de uso da terra,2008,1167.0
Carbono organico no solo,2008,22.0
Comercial,2008,2.0
Cultivo de arroz,2008,11.0
Disposicao final,2008,41.0
Efluentes domesticos,2008,22.0
Efluentes liquidos industriais,2008,4.0
Fermentacao enterica,2008,352.0
Geracao de eletricidade (servico publico),2008,27.0
Incineracao ou queima a ceu aberto,2008,2.0
Industria Quimica,2008,3.0
Industrial,2008,74.0
Manejo de dejetos animais,2008,22.0
Producao de combustiveis,2008,47.0
Producao de metais,2008,51.0
Producao e uso de CFs,2008,0.0
Producao e uso de HFCs,2008,2.0
Produtos minerais,2008,25.0
Publico,2008,2.0
Queima de residuos agricolas,2008,3.0
Residencial,2008,26.0
Residuos florestais,2008,56.0
Solos manejados,2008,124.0
Transportes,2008,158.0
Tratamento biologico de residuos solidos,2008,0.0
Uso de SF6 em equipamentos eletricos,2008,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2008,1.0
Agropecuaria,2009,18.0
Alteracoes de uso da terra,2009,814.0
Carbono organico no solo,2009,19.0
Comercial,2009,2.0
Cultivo de arroz,2009,11.0
Disposicao final,2009,41.0
Efluentes domesticos,2009,22.0
Efluentes liquidos industriais,2009,4.0
Fermentacao enterica,2009,358.0
Geracao de eletricidade (servico publico),2009,17.0
Incineracao ou queima a ceu aberto,2009,2.0
Industria Quimica,2009,2.0
Industrial,2009,70.0
Manejo de dejetos animais,2009,22.0
Producao de combustiveis,2009,53.0
Producao de metais,2009,41.0
Producao e uso de CFs,2009,0.0
Producao e uso de HFCs,2009,2.0
Produtos minerais,2009,25.0
Publico,2009,2.0
Queima de residuos agricolas,2009,2.0
Residencial,2009,26.0
Residuos florestais,2009,38.0
Solos manejados,2009,122.0
Transportes,2009,156.0
Tratamento biologico de residuos solidos,2009,0.0
Uso de SF6 em equipamentos eletricos,2009,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2009,1.0
Agropecuaria,2010,18.0
Alteracoes de uso da terra,2010,760.0
Carbono organico no solo,2010,19.0
Comercial,2010,2.0
Cultivo de arroz,2010,11.0
Disposicao final,2010,43.0
Efluentes domesticos,2010,22.0
Efluentes liquidos industriais,2010,5.0
Fermentacao enterica,2010,368.0
Geracao de eletricidade (servico publico),2010,27.0
Incineracao ou queima a ceu aberto,2010,2.0
Industria Quimica,2010,2.0
Industrial,2010,78.0
Manejo de dejetos animais,2010,23.0
Producao de combustiveis,2010,50.0
Producao de metais,2010,47.0
Producao e uso de CFs,2010,0.0
Producao e uso de HFCs,2010,3.0
Produtos minerais,2010,28.0
Publico,2010,1.0
Queima de residuos agricolas,2010,2.0
Residencial,2010,26.0
Residuos florestais,2010,35.0
Solos manejados,2010,130.0
Transportes,2010,174.0
Tratamento biologico de residuos solidos,2010,0.0
Uso de SF6 em equipamentos eletricos,2010,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2010,1.0
Agropecuaria,2011,18.0
Alteracoes de uso da terra,2011,781.0
Carbono organico no solo,2011,19.0
Comercial,2011,2.0
Cultivo de arroz,2011,12.0
Disposicao final,2011,44.0
Efluentes domesticos,2011,23.0
Efluentes liquidos industriais,2011,5.0
Fermentacao enterica,2011,362.0
Geracao de eletricidade (servico publico),2011,20.0
Incineracao ou queima a ceu aberto,2011,2.0
Industria Quimica,2011,2.0
Industrial,2011,84.0
Manejo de dejetos animais,2011,25.0
Producao de combustiveis,2011,49.0
Producao de metais,2011,51.0
Producao e uso de CFs,2011,0.0
Producao e uso de HFCs,2011,3.0
Produtos minerais,2011,30.0
Publico,2011,1.0
Queima de residuos agricolas,2011,2.0
Residencial,2011,26.0
Residuos florestais,2011,36.0
Solos manejados,2011,138.0
Transportes,2011,190.0
Tratamento biologico de residuos solidos,2011,0.0
Uso de SF6 em equipamentos eletricos,2011,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2011,1.0
Agropecuaria,2012,18.0
Alteracoes de uso da terra,2012,827.0
Carbono organico no solo,2012,23.0
Comercial,2012,2.0
Cultivo de arroz,2012,11.0
Disposicao final,2012,45.0
Efluentes domesticos,2012,23.0
Efluentes liquidos industriais,2012,5.0
Fermentacao enterica,2012,360.0
Geracao de eletricidade (servico publico),2012,35.0
Incineracao ou queima a ceu aberto,2012,2.0
Industria Quimica,2012,2.0
Industrial,2012,81.0
Manejo de dejetos animais,2012,25.0
Producao de combustiveis,2012,51.0
Producao de metais,2012,51.0
Producao e uso de CFs,2012,0.0
Producao e uso de HFCs,2012,4.0
Produtos minerais,2012,32.0
Publico,2012,1.0
Queima de residuos agricolas,2012,1.0
Residencial,2012,26.0
Residuos florestais,2012,38.0
Solos manejados,2012,139.0
Transportes,2012,207.0
Tratamento biologico de residuos solidos,2012,0.0
Uso de SF6 em equipamentos eletricos,2012,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2012,1.0
Agropecuaria,2013,18.0
Alteracoes de uso da terra,2013,956.0
Carbono organico no solo,2013,23.0
Comercial,2013,2.0
Cultivo de arroz,2013,11.0
Disposicao final,2013,48.0
Efluentes domesticos,2013,24.0
Efluentes liquidos industriais,2013,5.0
Fermentacao enterica,2013,361.0
Geracao de eletricidade (servico publico),2013,56.0
Incineracao ou queima a ceu aberto,2013,2.0
Industria Quimica,2013,2.0
Industrial,2013,82.0
Manejo de dejetos animais,2013,25.0
Producao de combustiveis,2013,56.0
Producao de metais,2013,49.0
Producao e uso de CFs,2013,0.0
Producao e uso de HFCs,2013,4.0
Produtos minerais,2013,34.0
Publico,2013,1.0
Queima de residuos agricolas,2013,1.0
Residencial,2013,25.0
Residuos florestais,2013,44.0
Solos manejados,2013,144.0
Transportes,2013,214.0
Tratamento biologico de residuos solidos,2013,0.0
Uso de SF6 em equipamentos eletricos,2013,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2013,1.0
Agropecuaria,2014,19.0
Alteracoes de uso da terra,2014,884.0
Carbono organico no solo,2014,21.0
Comercial,2014,2.0
Cultivo de arroz,2014,11.0
Disposicao final,2014,50.0
Efluentes domesticos,2014,24.0
Efluentes liquidos industriais,2014,5.0
Fermentacao enterica,2014,362.0
Geracao de eletricidade (servico publico),2014,70.0
Incineracao ou queima a ceu aberto,2014,2.0
Industria Quimica,2014,2.0
Industrial,2014,82.0
Manejo de dejetos animais,2014,25.0
Producao de combustiveis,2014,60.0
Producao de metais,2014,47.0
Producao e uso de CFs,2014,0.0
Producao e uso de HFCs,2014,5.0
Produtos minerais,2014,34.0
Publico,2014,1.0
Queima de residuos agricolas,2014,1.0
Residencial,2014,26.0
Residuos florestais,2014,41.0
Solos manejados,2014,146.0
Transportes,2014,219.0
Tratamento biologico de residuos solidos,2014,0.0
Uso de SF6 em equipamentos eletricos,2014,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2014,1.0
Agropecuaria,2015,19.0
Alteracoes de uso da terra,2015,1008.0
Carbono organico no solo,2015,22.0
Comercial,2015,2.0
Cultivo de arroz,2015,12.0
Disposicao final,2015,54.0
Efluentes domesticos,2015,24.0
Efluentes liquidos industriais,2015,5.0
Fermentacao enterica,2015,369.0
Geracao de eletricidade (servico publico),2015,66.0
Incineracao ou queima a ceu aberto,2015,2.0
Industria Quimica,2015,3.0
Industrial,2015,78.0
Manejo de dejetos animais,2015,26.0
Producao de combustiveis,2015,59.0
Producao de metais,2015,48.0
Producao e uso de CFs,2015,0.0
Producao e uso de HFCs,2015,5.0
Produtos minerais,2015,32.0
Publico,2015,1.0
Queima de residuos agricolas,2015,1.0
Residencial,2015,26.0
Residuos florestais,2015,47.0
Solos manejados,2015,144.0
Transportes,2015,205.0
Tratamento biologico de residuos solidos,2015,0.0
Uso de SF6 em equipamentos eletricos,2015,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2015,1.0
Agropecuaria,2016,19.0
Alteracoes de uso da terra,2016,997.0
Carbono organico no solo,2016,19.0
Comercial,2016,2.0
Cultivo de arroz,2016,11.0
Disposicao final,2016,57.0
Efluentes domesticos,2016,25.0
Efluentes liquidos industriais,2016,5.0
Fermentacao enterica,2016,374.0
Geracao de eletricidade (servico publico),2016,43.0
Incineracao ou queima a ceu aberto,2016,2.0
Industria Quimica,2016,3.0
Industrial,2016,72.0
Manejo de dejetos animais,2016,26.0
Producao de combustiveis,2016,57.0
Producao de metais,2016,49.0
Producao e uso de CFs,2016,0.0
Producao e uso de HFCs,2016,6.0
Produtos minerais,2016,30.0
Publico,2016,1.0
Queima de residuos agricolas,2016,1.0
Residencial,2016,26.0
Residuos florestais,2016,47.0
Solos manejados,2016,150.0
Transportes,2016,203.0
Tratamento biologico de residuos solidos,2016,0.0
Uso de SF6 em equipamentos eletricos,2016,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2016,1.0
Agropecuaria,2017,20.0
Alteracoes de uso da terra,2017,878.0
Carbono organico no solo,2017,19.0
Comercial,2017,2.0
Cultivo de arroz,2017,12.0
Disposicao final,2017,58.0
Efluentes domesticos,2017,25.0
Efluentes liquidos industriais,2017,5.0
Fermentacao enterica,2017,368.0
Geracao de eletricidade (servico publico),2017,45.0
Incineracao ou queima a ceu aberto,2017,2.0
Industria Quimica,2017,3.0
Industrial,2017,74.0
Manejo de dejetos animais,2017,27.0
Producao de combustiveis,2017,57.0
Producao de metais,2017,50.0
Producao e uso de CFs,2017,0.0
Producao e uso de HFCs,2017,6.0
Produtos minerais,2017,28.0
Publico,2017,1.0
Queima de residuos agricolas,2017,0.0
Residencial,2017,26.0
Residuos florestais,2017,41.0
Solos manejados,2017,155.0
Transportes,2017,205.0
Tratamento biologico de residuos solidos,2017,0.0
Uso de SF6 em equipamentos eletricos,2017,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2017,1.0
Agropecuaria,2018,20.0
Alteracoes de uso da terra,2018,895.0
Carbono organico no solo,2018,19.0
Comercial,2018,2.0
Cultivo de arroz,2018,11.0
Disposicao final,2018,59.0
Efluentes domesticos,2018,25.0
Efluentes liquidos industriais,2018,6.0
Fermentacao enterica,2018,365.0
Geracao de eletricidade (servico publico),2018,36.0
Incineracao ou queima a ceu aberto,2018,2.0
Industria Quimica,2018,3.0
Industrial,2018,70.0
Manejo de dejetos animais,2018,27.0
Producao de combustiveis,2018,57.0
Producao de metais,2018,50.0
