categoria,ano,emissao_mt
Processo de digestao de animais ruminantes,2004,364.9051
Producao de cal,2004,5.2288
Producao de cimento,2004,13.2734
Producao de ferro gusa e aco,2004,36.7954
Quimica,2004,16.759
Refino de petroleo,2004,22.1581
Regeneracao,2004,29.1349
Residencial,2004,25.7609
Residuos agricolas,2004,22.1739
Rodoviario,2004,127.0983
Tratamento e despejo de efluentes domesticos,2004,21.0876
Tratamento e disposicao de dejetos animais,2004,20.6404
Uso em equipamento ou produto,2004,0.9854
Aereo,2005,7.8407
Agropecuaria,2005,15.7701
Aplicacao de residuos organicos,2005,4.3875
Cimento,2005,9.2188
Corretivo agricola,2005,8.1029
Cultivo em sistema irrigado inundado,2005,10.7963
Deposicao de dejetos em pastagem,2005,61.0704
Desmatamento,2005,1821.8192
Disposicao em aterros controlados ou lixoes,2005,19.3902
Disposicao final em aterros sanitarios,2005,18.2496
Exploracao de petroleo e gas natural,2005,16.0813
Ferro gusa e aco,2005,5.8468
Fertilizantes sinteticos nitrogenados,2005,14.6544
Geracao de eletricidade (servico publico),2005,20.9953
Nao ferrosos e outros da metalurgia,2005,5.4141
Outras industrias,2005,6.3083
Outras mudancas de uso da terra,2005,44.4875
Outros,2005,65.0888
Processo de digestao de animais ruminantes,2005,368.4251
Producao de cal,2005,5.0872
Producao de cimento,2005,14.349
Producao de ferro gusa e aco,2005,35.979
Quimica,2005,16.8803
Refino de petroleo,2005,23.8519
Regeneracao,2005,29.2173
Residencial,2005,25.6841
Residuos agricolas,2005,22.6232
Rodoviario,2005,127.5911
Tratamento e despejo de efluentes domesticos,2005,21.351
Tratamento e disposicao de dejetos animais,2005,20.9962
Uso em equipamento ou produto,2005,1.1481
Aereo,2006,7.3548
Agropecuaria,2006,15.9323
Aplicacao de residuos organicos,2006,4.6701
Cimento,2006,9.9904
Corretivo agricola,2006,8.0374
Cultivo em sistema irrigado inundado,2006,10.6675
Deposicao de dejetos em pastagem,2006,60.8014
Desmatamento,2006,1462.8219
Disposicao em aterros controlados ou lixoes,2006,19.6883
Disposicao final em aterros sanitarios,2006,19.9004
Exploracao de petroleo e gas natural,2006,14.4093
Ferro gusa e aco,2006,5.8628
Fertilizantes sinteticos nitrogenados,2006,15.0924
Geracao de eletricidade (servico publico),2006,20.7432
Nao ferrosos e outros da metalurgia,2006,5.641
Outras industrias,2006,6.2959
Outras mudancas de uso da terra,2006,34.1734
Outros,2006,65.6942
Processo de digestao de animais ruminantes,2006,366.6149
Producao de cal,2006,5.138
Producao de cimento,2006,15.44
Producao de ferro gusa e aco,2006,34.3885
Quimica,2006,17.4783
Refino de petroleo,2006,24.0878
Regeneracao,2006,25.9242
Residencial,2006,25.7534
Residuos agricolas,2006,23.0376
Rodoviario,2006,131.8495
Tratamento e despejo de efluentes domesticos,2006,21.6536
Tratamento e disposicao de dejetos animais,2006,21.4046
Uso em equipamento ou produto,2006,1.3455
Aereo,2007,8.0755
Agropecuaria,2007,16.8125
Aplicacao de residuos organicos,2007,5.1779
Cimento,2007,11.1589
Corretivo agricola,2007,10.5707
Cultivo em sistema irrigado inundado,2007,10.142
Deposicao de dejetos em pastagem,2007,59.0924
Desmatamento,2007,1207.6578
Disposicao em aterros controlados ou lixoes,2007,19.7876
Disposicao final em aterros sanitarios,2007,20.544
Exploracao de petroleo e gas natural,2007,14.26
Ferro gusa e aco,2007,6.4643
Fertilizantes sinteticos nitrogenados,2007,18.1137
Geracao de eletricidade (servico publico),2007,19.4338
Nao ferrosos e outros da metalurgia,2007,6.0155
Outras industrias,2007,7.2151
Outras mudancas de uso da terra,2007,29.2752
Outros,2007,65.1819
Processo de digestao de animais ruminantes,2007,346.1515
Producao de cal,2007,5.3818
Producao de cimento,2007,17.2
Producao de ferro gusa e aco,2007,47.1005
Quimica,2007,19.2159
Refino de petroleo,2007,25.1676
Regeneracao,2007,27.3433
Residencial,2007,25.7153
Residuos agricolas,2007,24.6549
Rodoviario,2007,136.2952
Tratamento e despejo de efluentes domesticos,2007,21.34
Tratamento e disposicao de dejetos animais,2007,20.9965
Uso em equipamento ou produto,2007,1.6117
Aereo,2008,8.631
Agropecuaria,2008,18.3671
Aplicacao de residuos organicos,2008,5.6824
Cimento,2008,12.4179
Corretivo agricola,2008,11.4351
Cultivo em sistema irrigado inundado,2008,11.125
Deposicao de dejetos em pastagem,2008,59.7031
Desmatamento,2008,1188.3165
Disposicao em aterros controlados ou lixoes,2008,20.0497
Disposicao final em aterros sanitarios,2008,20.9826
Exploracao de petroleo e gas natural,2008,16.995
Ferro gusa e aco,2008,6.9599
Fertilizantes sinteticos nitrogenados,2008,16.395
Geracao de eletricidade (servico publico),2008,26.586
Nao ferrosos e outros da metalurgia,2008,5.6782
Outras industrias,2008,8.0442
Outras mudancas de uso da terra,2008,30.2305
Outros,2008,65.5837
Processo de digestao de animais ruminantes,2008,351.8332
Producao de cal,2008,5.4046
Producao de cimento,2008,18.884
Producao de ferro gusa e aco,2008,43.782
Quimica,2008,16.8825
Refino de petroleo,2008,25.7595
Regeneracao,2008,26.5326
Residencial,2008,26.002
Residuos agricolas,2008,26.0916
Rodoviario,2008,141.5196
Tratamento e despejo de efluentes domesticos,2008,22.1216
Tratamento e disposicao de dejetos animais,2008,21.692
Uso em equipamento ou produto,2008,1.9264
Aereo,2009,8.6816
Agropecuaria,2009,17.6693
Aplicacao de residuos organicos,2009,5.6832
Cimento,2009,13.6773
Corretivo agricola,2009,9.1005
Cultivo em sistema irrigado inundado,2009,11.4526
Deposicao de dejetos em pastagem,2009,60.7039
Desmatamento,2009,819.0142
Disposicao em aterros controlados ou lixoes,2009,20.3372
Disposicao final em aterros sanitarios,2009,20.9109
Exploracao de petroleo e gas natural,2009,23.4251
Ferro gusa e aco,2009,5.262
Fertilizantes sinteticos nitrogenados,2009,16.9329
Geracao de eletricidade (servico publico),2009,16.5969
Nao ferrosos e outros da metalurgia,2009,4.6765
Outras industrias,2009,8.1537
Outras mudancas de uso da terra,2009,28.713
Outros,2009,60.1219
Processo de digestao de animais ruminantes,2009,358.46
Producao de cal,2009,4.8056
Producao de cimento,2009,19.031
Producao de ferro gusa e aco,2009,35.5316
Quimica,2009,16.8321
Refino de petroleo,2009,25.6329
Regeneracao,2009,22.9117
Residencial,2009,26.0183
Residuos agricolas,2009,25.5266
Rodoviario,2009,139.225
Tratamento e despejo de efluentes domesticos,2009,22.3617
Tratamento e disposicao de dejetos animais,2009,22.2343
Uso em equipamento ou produto,2009,2.2696
Aereo,2010,9.7894
Agropecuaria,2010,18.1928
Aplicacao de residuos organicos,2010,5.9337
Cimento,2010,14.7383
Corretivo agricola,2010,11.3002
Cultivo em sistema irrigado inundado,2010,10.7938
Deposicao de dejetos em pastagem,2010,61.9925
Desmatamento,2010,756.9658
Disposicao em aterros controlados ou lixoes,2010,20.6039
Disposicao final em aterros sanitarios,2010,22.0365
Exploracao de petroleo e gas natural,2010,21.2603
Ferro gusa e aco,2010,6.4274
Fertilizantes sinteticos nitrogenados,2010,18.8447
Geracao de eletricidade (servico publico),2010,26.6912
Nao ferrosos e outros da metalurgia,2010,8.5554
Outras industrias,2010,7.6086
Outras mudancas de uso da terra,2010,28.7176
Outros,2010,64.01
Processo de digestao de animais ruminantes,2010,368.4963
Producao de cal,2010,5.6513
Producao de cimento,2010,21.2716
Producao de ferro gusa e aco,2010,40.9733
Quimica,2010,15.2044
Refino de petroleo,2010,24.1181
Regeneracao,2010,28.4993
Residencial,2010,26.2056
Residuos agricolas,2010,27.1801
Rodoviario,2010,156.2916
Tratamento e despejo de efluentes domesticos,2010,22.2767
Tratamento e disposicao de dejetos animais,2010,22.8439
Uso em equipamento ou produto,2010,2.6761
Aereo,2011,10.9423
Agropecuaria,2011,17.6669
Aplicacao de residuos organicos,2011,5.5755
Cimento,2011,15.6583
Corretivo agricola,2011,14.0013
Cultivo em sistema irrigado inundado,2011,12.0792
Deposicao de dejetos em pastagem,2011,62.719
Desmatamento,2011,783.1639
