categoria,ano,emissao_mt
Goias,2008,84.0
Maranhao,2008,133.0
Mato Grosso,2008,309.0
Mato Grosso do Sul,2008,78.0
Minas Gerais,2008,179.0
Nao Alocado,2008,58.0
Para,2008,468.0
Paraiba,2008,10.0
Parana,2008,72.0
Pernambuco,2008,21.0
Piaui,2008,24.0
Rio Grande do Norte,2008,10.0
Rio Grande do Sul,2008,107.0
Rio de Janeiro,2008,67.0
Rondonia,2008,103.0
Roraima,2008,26.0
Santa Catarina,2008,47.0
Sao Paulo,2008,154.0
Sergipe,2008,9.0
Tocantins,2008,56.0
Acre,2009,32.0
Alagoas,2009,8.0
Amapa,2009,4.0
Amazonas,2009,48.0
Bahia,2009,97.0
Ceara,2009,26.0
Distrito Federal,2009,7.0
Espirito Santo,2009,26.0
Goias,2009,83.0
Maranhao,2009,104.0
Mato Grosso,2009,187.0
Mato Grosso do Sul,2009,74.0
Minas Gerais,2009,168.0
Nao Alocado,2009,53.0
Para,2009,320.0
Paraiba,2009,11.0
Parana,2009,68.0
Pernambuco,2009,21.0
Piaui,2009,20.0
Rio Grande do Norte,2009,10.0
Rio Grande do Sul,2009,102.0
Rio de Janeiro,2009,65.0
Rondonia,2009,71.0
Roraima,2009,15.0
Santa Catarina,2009,45.0
Sao Paulo,2009,148.0
Sergipe,2009,9.0
Tocantins,2009,51.0
Acre,2010,33.0
Alagoas,2010,8.0
Amapa,2010,4.0
Amazonas,2010,59.0
Bahia,2010,90.0
Ceara,2010,26.0
Distrito Federal,2010,7.0
Espirito Santo,2010,30.0
Goias,2010,85.0
Maranhao,2010,96.0
Mato Grosso,2010,185.0
Mato Grosso do Sul,2010,75.0
Minas Gerais,2010,174.0
Nao Alocado,2010,59.0
Para,2010,278.0
Paraiba,2010,10.0
Parana,2010,72.0
Pernambuco,2010,22.0
Piaui,2010,31.0
Rio Grande do Norte,2010,10.0
Rio Grande do Sul,2010,110.0
Rio de Janeiro,2010,68.0
Rondonia,2010,68.0
Roraima,2010,13.0
Santa Catarina,2010,47.0
Sao Paulo,2010,155.0
Sergipe,2010,9.0
Tocantins,2010,51.0
Acre,2011,28.0
Alagoas,2011,8.0
Amapa,2011,3.0
Amazonas,2011,43.0
Bahia,2011,94.0
Ceara,2011,27.0
Distrito Federal,2011,8.0
Espirito Santo,2011,31.0
Goias,2011,85.0
Maranhao,2011,99.0
Mato Grosso,2011,232.0
Mato Grosso do Sul,2011,71.0
Minas Gerais,2011,177.0
Nao Alocado,2011,63.0
Para,2011,253.0
Paraiba,2011,11.0
